Name,Calories,Carbs,Protein,Fat,Sugar,Fibre,Cholesterol,calcium,phosphorus,magnesium,sodium,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vit a_ug,vit e_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug
Stuffed egg omelette/omlet,203.51,2.30,8.60,17.77,1.57,0.75,154.38,89.91,182.39,14.15,267.19,161.72,0.91,0.06,16.65,0.00,0.07,0.01,0.90,115.96,5.77,3.21,0.32,5.16,5.58,26.80,0.08,0.12,0.58,0.78,0.13,9.02,26.80
Pancake,203.36,20.49,5.68,10.82,3.32,0.65,35.93,79.49,101.29,13.56,143.70,116.83,0.69,0.07,4.53,0.00,0.16,0.01,0.52,19.44,3.78,1.59,0.08,0.68,1.43,12.84,0.06,0.10,0.24,0.52,0.06,3.10,12.84
Keema pancake,176.27,9.56,9.01,11.25,2.20,0.84,46.43,40.96,110.68,16.95,125.40,198.42,0.93,0.07,2.47,0.00,0.17,0.01,1.46,38.43,1.60,2.13,0.03,4.30,0.55,11.08,0.07,0.11,1.83,0.57,0.12,2.32,11.08
Vegetable pancake,125.18,12.24,3.87,6.57,2.09,2.48,19.32,42.89,63.25,19.91,116.69,230.72,0.79,0.09,2.07,0.00,0.21,0.01,0.48,35.17,1.54,4.21,0.03,13.94,0.52,24.39,0.09,0.06,0.55,0.46,0.10,2.48,24.39
Jam and fruit pancake,162.02,20.73,3.79,7.01,7.85,1.21,23.09,54.06,68.54,11.90,93.09,110.42,0.52,0.06,2.93,0.00,0.41,0.01,0.37,12.49,2.54,1.07,0.05,1.00,0.92,12.80,0.05,0.07,0.19,0.36,0.07,2.25,12.80
Khoa and coconut pancake,271.98,27.32,6.98,15.29,16.47,1.65,21.35,157.22,151.28,22.61,101.00,205.43,1.12,0.10,10.61,0.02,0.25,0.01,0.80,11.55,2.54,1.04,0.05,2.87,0.85,26.87,0.06,0.09,0.25,0.39,0.06,5.50,26.87
Brown stock,21.32,0.25,1.95,1.38,0.14,0.09,0.00,17.16,16.78,0.72,44.60,36.68,0.30,0.00,0.03,0.00,0.02,0.00,0.01,0.00,0.00,0.04,0.00,0.37,0.00,1.30,0.02,0.02,0.71,0.01,0.00,0.05,1.30
Vegetable stock,17.60,0.96,0.30,1.38,0.44,0.38,3.46,5.08,5.43,2.64,49.75,30.05,0.12,0.01,0.10,0.00,0.04,0.01,0.05,15.57,0.04,0.40,0.00,2.03,0.00,3.35,0.01,0.00,0.06,0.04,0.01,0.23,3.35
Chicken stock,29.88,0.37,3.69,1.51,0.20,0.10,10.23,3.57,30.82,4.25,58.58,56.12,0.18,0.05,3.11,0.00,0.02,0.00,0.14,1.16,0.05,0.04,0.23,0.26,4.62,2.71,0.02,0.01,1.35,0.20,0.09,0.77,2.71
Clear tomato soup (Tamatar ka soup),80.07,3.45,4.79,12.22,1.44,1.96,0.00,29.05,50.31,22.39,5135.74,232.95,1.14,0.05,0.21,0.00,0.23,0.01,0.23,0.00,3.47,6.14,0.00,14.32,0.00,11.04,0.03,0.01,0.32,0.12,0.05,0.77,11.04
Lentil soup,31.17,3.94,9.65,11.68,1.06,2.57,2.19,40.57,96.89,36.61,10418.84,350.26,2.26,0.10,1.99,0.00,0.35,0.04,0.47,9.85,0.09,1.93,0.00,8.17,0.00,8.97,0.03,0.02,0.20,0.14,0.04,0.56,8.97
Chicken consomme (Clear chicken soup),47.94,1.19,11.47,12.02,0.54,1.57,17.00,35.48,102.45,32.35,8953.64,305.39,1.82,0.06,3.83,0.00,0.36,0.02,0.46,9.56,0.05,0.35,0.08,4.65,0.00,5.04,0.02,0.04,1.35,0.33,0.09,0.89,5.04
Cream of tomato soup,97.81,3.93,4.61,13.12,1.81,1.38,5.47,39.61,56.77,19.75,4461.22,205.66,0.95,0.05,0.28,0.00,0.15,0.01,0.24,26.01,3.05,5.20,0.00,11.49,0.00,9.52,0.03,0.03,0.28,0.15,0.05,0.94,9.52
Cream of green peas soup,127.84,6.75,7.13,14.78,1.61,2.95,6.19,51.01,76.14,29.97,4999.70,242.60,1.48,0.11,0.88,0.00,0.27,0.02,0.56,29.45,3.42,4.13,0.00,16.43,0.00,21.68,0.10,0.04,0.47,0.30,0.08,1.85,21.68
Cream of spinach soup,100.54,3.45,5.21,13.31,1.13,1.74,5.47,70.77,64.44,52.29,4429.81,404.13,2.10,0.10,1.19,0.01,0.59,0.01,0.39,26.00,3.51,0.25,0.00,141.63,0.00,64.43,0.08,0.07,0.20,0.17,0.08,2.27,64.43
Cream of mixed vegetable soup,59.65,4.93,6.84,9.05,2.10,2.14,7.05,65.26,94.33,27.05,5655.45,255.87,1.36,0.07,0.64,0.00,0.23,0.02,0.48,28.60,0.17,3.60,0.00,11.38,0.00,15.03,0.06,0.04,0.32,0.24,0.06,1.44,15.03
Cream of mushroom soup,117.28,3.74,6.64,15.50,1.93,1.34,6.74,70.56,106.93,24.31,5276.06,249.79,1.81,0.08,0.25,0.00,0.19,0.01,0.56,32.07,3.65,4.31,0.00,4.35,0.00,8.19,0.02,0.04,0.22,0.21,0.05,2.74,8.19
Chicken sweet corn soup,28.32,1.63,14.48,12.59,0.27,0.47,6.37,91.50,177.67,41.64,12205.33,362.15,3.83,0.11,2.67,0.00,0.23,0.00,1.02,0.72,0.07,0.01,0.18,0.09,2.87,5.57,0.03,0.02,1.04,0.24,0.06,0.58,5.57
Minestrone soup,42.66,3.71,9.30,11.09,1.01,1.92,3.70,53.55,101.30,31.06,8875.06,299.64,1.82,0.06,0.71,0.00,0.22,0.01,0.39,14.19,0.10,3.24,0.00,10.81,0.00,10.10,0.04,0.02,0.64,0.13,0.04,0.77,10.10
Egg drop soup,26.64,1.10,12.93,13.52,0.60,0.81,31.67,100.14,170.96,39.39,12418.84,346.42,3.93,0.09,3.30,0.00,0.24,0.01,1.04,28.13,0.18,0.08,0.07,7.62,1.15,8.87,0.01,0.02,0.09,0.16,0.03,1.72,8.87
Chinese cabbage and meat ball soup,484.31,1.43,5.21,56.57,0.37,0.57,5.83,41.07,64.93,15.07,4249.41,147.10,1.52,0.04,0.73,0.00,0.11,0.01,0.36,6.78,25.43,1.35,0.01,8.54,0.20,4.37,0.02,0.01,0.37,0.06,0.02,0.47,4.37
French onion soup,55.61,4.28,11.41,14.39,1.50,1.01,10.59,106.22,167.13,37.54,11202.89,320.67,3.52,0.10,0.24,0.00,0.26,0.01,0.99,44.42,0.10,0.20,0.00,1.60,0.00,7.06,0.01,0.01,0.08,0.09,0.03,0.77,7.06
Hot and sour soup,31.51,1.78,3.12,1.31,0.66,0.60,17.91,10.68,34.22,7.53,163.26,93.43,0.43,0.05,3.25,0.00,0.11,0.01,0.18,7.01,0.10,0.73,0.17,6.90,3.29,10.13,0.02,0.02,0.97,0.22,0.09,1.51,10.13
Talaumein soup,35.63,4.17,10.12,12.78,0.77,1.94,12.40,42.33,101.54,37.81,11088.14,340.97,2.23,0.06,2.09,0.00,0.28,0.02,0.41,6.71,0.66,1.24,0.03,14.95,0.49,13.16,0.02,0.02,0.25,0.16,0.06,1.38,13.16
Cold cucumber soup (Thanda kheere ka soup),48.03,4.58,2.99,1.99,3.34,0.88,7.06,99.79,98.44,15.83,121.32,171.02,0.32,0.03,1.07,0.00,0.06,0.02,0.42,20.12,0.05,0.47,0.00,4.59,0.00,14.61,0.03,0.11,0.20,0.34,0.06,2.08,14.61
Cold summer garden soup,49.19,2.65,8.57,14.08,0.46,1.86,10.12,43.93,86.54,38.89,9919.63,361.43,2.13,0.07,0.55,0.00,0.28,0.02,0.36,46.93,0.17,0.28,0.00,22.78,0.00,14.09,0.02,0.02,0.19,0.13,0.03,0.94,14.09
Chapati/Roti,202.31,35.65,5.88,3.56,1.00,6.31,6.83,17.22,175.00,69.44,1.16,172.78,2.28,0.27,29.51,0.00,1.66,0.02,1.58,25.61,0.30,7.46,0.00,0.83,0.00,16.23,0.23,0.08,1.32,0.48,0.14,0.42,16.23
Plain parantha/paratha,298.30,30.69,5.06,16.86,0.86,5.43,0.00,14.81,150.67,59.91,62.07,148.89,1.98,0.23,25.41,0.00,1.43,0.01,1.36,0.00,8.07,6.42,0.00,1.73,0.00,13.98,0.20,0.07,1.13,0.42,0.12,0.36,13.98
Potato parantha/paratha (Aloo ka parantha/paratha),205.04,23.92,3.70,10.22,1.15,4.18,0.00,17.38,107.56,46.11,127.20,272.88,1.52,0.18,15.42,0.00,0.94,0.01,0.95,0.00,4.85,4.02,0.00,4.42,0.00,16.02,0.14,0.05,1.05,0.39,0.12,0.87,16.02
Radish parantha/paratha (Mooli ka parantha/paratha),183.52,20.54,3.30,9.53,1.31,4.32,0.00,23.75,98.85,41.98,127.03,206.44,1.39,0.16,14.23,0.00,0.87,0.02,0.88,0.00,4.51,3.72,0.00,4.39,0.00,20.73,0.12,0.05,0.80,0.32,0.11,1.28,20.73
