Name,Calories,Carbs,Protein,Fat,Sugar,Fibre,Cholesterol,calcium,phosphorus,magnesium,sodium,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vit a_ug,vit e_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug
Fermented bengal gram vada (Khameerikrit/Ufna hua channa dal ka vada),657.57,8.68,4.05,67.19,0.35,2.65,0.00,20.50,63.67,36.88,63.87,267.47,1.38,0.15,6.54,0.01,0.42,0.03,0.63,0.00,32.98,0.90,0.00,50.21,0.00,43.03,0.07,0.03,0.36,0.42,0.06,0.78,43.03
Poshtik namak paras,613.39,19.52,6.49,56.58,0.87,4.55,14.30,60.74,130.17,61.00,44.01,203.84,2.03,0.24,11.86,0.00,0.99,0.05,1.15,53.60,23.93,4.86,0.00,38.80,0.00,47.22,0.18,0.06,1.45,0.38,0.14,1.56,47.22
Soya chikki,423.70,62.89,7.18,15.51,45.47,3.55,32.71,81.25,149.09,102.97,17.24,534.75,4.47,0.27,7.24,0.01,0.91,0.05,1.20,122.52,1.10,0.48,0.00,2.01,0.00,48.12,0.11,0.05,0.67,0.50,0.44,1.51,48.12
Besan bathua chilla/cheela,373.82,40.65,11.48,18.57,1.45,7.79,40.83,64.75,183.83,70.42,166.36,274.89,2.68,0.27,19.19,0.00,1.80,0.04,1.61,153.03,1.93,4.63,0.00,40.64,0.00,80.83,0.30,0.19,1.51,0.77,0.26,3.25,80.83
Wheat flour and nuts ladoos (Atta nuts ladoos),391.90,44.31,9.46,19.19,15.94,7.30,25.45,127.29,249.13,124.38,8.07,338.21,4.01,0.44,24.30,0.01,1.70,0.18,2.23,95.38,1.39,10.94,0.00,8.28,0.00,36.14,0.28,0.09,2.82,0.57,0.30,0.88,36.14
Gram flour and semolina dhokla (Besan suji dhokla),198.91,25.92,8.52,7.10,2.58,4.59,1.39,66.66,156.59,38.17,196.59,262.40,1.60,0.17,3.05,0.01,0.86,0.04,0.88,3.54,3.35,1.29,0.00,47.66,0.00,77.02,0.19,0.10,0.78,0.55,0.18,3.42,77.02
Atta dal burfi ,298.80,40.64,6.66,12.47,21.08,4.08,23.81,17.07,140.06,57.29,3.56,268.58,1.56,0.30,16.97,0.00,0.81,0.19,1.10,89.23,0.91,3.32,0.00,1.52,0.00,23.40,0.16,0.05,1.43,0.45,0.09,0.33,23.40
Soya roti,283.96,40.03,9.18,9.23,1.58,8.71,0.02,53.42,241.62,114.51,155.93,481.32,3.85,0.42,32.68,0.01,2.24,0.02,2.11,0.00,4.04,8.07,0.00,89.43,0.00,71.35,0.32,0.14,1.66,0.70,0.22,2.48,71.35
Poshtik khichdi/khichri,93.37,15.64,3.04,1.88,0.26,2.00,0.00,30.41,52.51,27.73,41.67,139.53,1.00,0.12,4.63,0.00,0.38,0.05,0.51,0.00,0.51,1.64,0.00,26.87,0.00,18.16,0.06,0.04,0.79,0.22,0.07,0.34,18.16
Namkeen daliya,295.11,49.32,8.29,7.99,0.82,8.57,0.00,35.98,6.13,4.34,149.63,51.52,2.99,0.02,0.02,0.00,0.04,0.01,0.06,0.00,3.55,2.57,0.00,6.10,0.00,5.39,0.01,0.01,0.15,0.06,0.03,0.42,5.39
Sprouts upma ,316.25,44.96,9.50,10.44,1.67,7.16,0.00,36.78,112.94,44.10,147.82,248.98,2.76,0.37,7.48,0.01,1.41,0.12,1.66,0.00,3.90,7.34,0.00,5.42,0.00,27.93,0.24,0.05,1.61,0.60,0.11,0.42,27.93
Semolina idli (Suji/Rava idli),206.39,33.67,9.34,3.47,3.42,5.85,3.48,100.85,193.19,53.71,185.02,413.85,2.34,0.31,9.58,0.01,1.15,0.08,1.57,8.86,0.51,3.60,0.00,55.65,0.00,58.64,0.21,0.14,1.20,0.66,0.13,1.82,58.64
Poshtik chilla/cheela,159.53,27.47,4.85,3.04,1.22,4.91,0.00,18.18,138.23,55.64,97.18,150.74,2.10,0.21,22.06,0.00,1.27,0.02,1.25,0.00,1.25,5.64,0.00,3.62,0.00,16.31,0.19,0.07,1.06,0.41,0.12,0.47,16.31
Stuffed bittergourd (dry) (Bharwa karela),217.65,2.49,1.29,22.38,0.07,3.00,0.00,16.72,35.98,28.10,519.29,284.18,1.29,0.08,3.97,0.01,0.43,0.09,0.35,0.00,10.94,1.47,0.00,5.00,0.00,45.33,0.05,0.03,0.24,0.21,0.04,5.17,45.33
Cauliflower potato canjee,16.79,2.63,0.57,0.39,0.13,0.69,0.00,6.78,16.29,7.81,35.58,117.27,0.28,0.02,0.72,0.00,0.07,0.00,0.10,0.00,0.02,0.38,0.00,1.57,0.00,6.81,0.02,0.01,0.22,0.11,0.03,0.42,6.81
Creamed spinach,96.91,4.44,5.18,6.39,1.59,1.33,59.60,122.30,124.22,51.53,156.02,385.36,1.89,0.11,6.92,0.02,0.61,0.01,0.70,71.53,1.00,0.33,0.11,169.03,1.89,83.11,0.11,0.12,0.23,0.44,0.11,5.38,83.11
Mango milkshake with ice cream (Aam milkshake ice cream�ke�saath),68.35,9.18,1.93,2.80,9.11,0.23,1.30,69.36,56.22,6.62,16.64,85.24,0.15,0.03,0.77,0.00,0.03,0.00,0.21,4.01,0.17,0.44,0.00,0.56,0.00,13.64,0.02,0.08,0.08,0.24,0.04,1.33,13.64
Pineapple milkshake with ice cream (Ananas milkshake ice cream�ke�saath),68.49,9.33,1.93,2.75,9.20,0.42,1.30,68.78,56.51,6.54,16.65,85.12,0.12,0.03,0.56,0.00,0.16,0.00,0.20,4.01,0.19,0.02,0.00,0.28,0.00,6.13,0.03,0.07,0.07,0.24,0.04,1.27,6.13
Orange milkshake with ice cream (Narangi milkshake ice cream�ke�saath),67.82,9.15,1.95,2.75,9.00,0.16,1.30,69.80,56.43,6.35,16.65,87.59,0.19,0.03,0.57,0.00,0.01,0.00,0.20,4.01,0.14,0.04,0.00,0.29,0.00,6.28,0.03,0.07,0.08,0.25,0.03,1.48,6.28
Woodapple juice (Bel ka sharbat),34.18,6.51,0.63,0.70,5.75,1.03,0.00,11.85,16.69,5.23,127.45,71.86,0.12,0.04,0.48,0.00,0.06,0.00,0.07,0.00,0.02,5.48,0.00,1.62,0.00,1.61,0.01,0.00,0.11,0.05,0.04,0.32,1.61
Sattu drink,23.38,5.16,0.56,0.14,3.96,0.40,0.00,1.59,8.56,3.17,12.65,25.27,0.17,0.03,1.34,0.00,0.04,0.00,0.10,0.00,0.00,0.05,0.00,0.04,0.00,4.77,0.01,0.00,0.05,0.04,0.00,0.02,4.77
Apple and honey sorbet (Seb aur shehad ka sharbat),121.30,30.74,0.15,0.29,29.18,1.13,0.00,9.11,5.41,4.29,1.97,56.42,0.18,0.05,0.26,0.00,0.02,0.06,0.08,0.00,0.07,0.64,0.00,1.59,0.00,1.65,0.01,0.01,0.12,0.04,0.02,0.15,1.65
Thandai,101.18,9.13,3.59,5.89,8.21,0.80,0.00,112.31,98.38,25.58,22.69,140.99,0.60,0.12,1.06,0.00,0.37,0.01,0.48,0.00,0.76,0.54,0.00,1.37,0.00,7.18,0.05,0.09,0.23,0.28,0.04,1.58,7.18
Cucumber sharbat (Kheere ka sharbat),27.28,6.64,0.26,0.06,5.46,0.78,0.00,6.49,10.39,7.54,2.57,67.04,0.18,0.02,0.06,0.00,0.03,0.00,0.07,0.00,0.01,0.46,0.00,2.99,0.00,6.15,0.01,0.00,0.13,0.16,0.02,1.03,6.15
Apple oats chia seed smoothie,85.64,13.07,3.49,2.48,5.76,1.44,4.32,88.89,111.20,23.55,32.02,169.25,0.50,0.05,1.43,0.00,0.38,0.13,0.57,10.91,0.10,0.19,0.00,0.56,0.00,11.36,0.14,0.11,0.22,0.28,0.08,2.83,11.36
Nannari sharbat,88.79,23.62,0.01,0.01,23.58,0.00,0.00,2.67,0.45,0.61,1.16,3.35,0.05,0.03,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.02,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.02,0.21
Semolina milk drink (Thari kanji),44.16,6.93,0.98,1.36,3.88,0.72,0.93,8.26,23.98,11.57,11.95,84.57,0.36,0.09,0.74,0.00,0.16,0.01,0.25,3.50,0.10,0.41,0.00,0.33,0.00,4.50,0.03,0.02,0.16,0.09,0.04,0.30,4.50
Saffron milk (Kesariya doodh),102.18,12.64,3.17,4.57,12.50,0.14,0.00,110.88,92.72,10.54,23.69,114.64,0.21,0.05,0.94,0.00,0.08,0.01,0.34,0.00,0.46,0.08,0.00,0.12,0.00,6.84,0.03,0.10,0.10,0.32,0.04,1.87,6.84
Black rice kheer (Chak-hao kheer),147.94,22.93,4.37,4.91,12.57,0.76,0.00,94.89,74.58,6.80,25.77,104.34,0.46,0.03,0.74,0.00,0.04,0.00,0.27,0.00,0.17,0.04,0.00,0.01,0.00,5.42,0.02,0.08,0.06,0.26,0.03,1.53,5.42
Coconut kheer (Nariyal ki kheer),162.61,14.42,3.40,10.55,13.73,1.53,3.22,89.52,83.39,23.26,45.97,188.16,0.53,0.10,0.70,0.00,0.18,0.01,0.38,12.11,1.15,0.08,0.00,2.39,0.00,7.59,0.03,0.10,0.20,0.25,0.04,1.31,7.59
Apple sago payasam (Seb aur sabudana ki kheer),136.50,14.40,3.13,7.66,10.63,0.38,10.85,102.11,93.90,16.81,39.45,129.65,0.31,0.07,1.14,0.00,0.12,0.07,0.42,40.82,0.61,0.23,0.00,0.38,0.00,6.48,0.04,0.12,0.15,0.32,0.04,1.62,6.48
Kesari bath,244.57,31.38,2.40,12.59,20.16,1.65,27.84,7.70,34.68,16.01,1.70,65.68,0.69,0.17,2.13,0.00,0.37,0.00,0.52,104.34,0.73,1.41,0.00,0.25,0.00,4.84,0.06,0.01,0.21,0.16,0.02,0.15,4.84
Putharekulu,318.30,59.61,3.66,7.55,23.86,1.75,18.39,6.11,65.64,12.93,2.67,67.48,0.38,0.15,0.56,0.00,0.37,0.03,0.53,68.93,0.47,0.00,0.00,0.70,0.00,4.56,0.08,0.03,1.17,0.26,0.10,0.14,4.56
Mango malpua,334.64,12.84,1.65,30.67,4.96,2.08,75.21,10.64,46.06,20.34,1.89,89.28,0.70,0.10,7.22,0.01,0.45,0.00,0.43,281.80,1.99,2.76,0.00,1.84,0.00,28.17,0.06,0.03,0.38,0.15,0.07,0.62,28.17
Mango vanilla custard,147.63,18.41,3.43,7.04,14.62,0.99,0.35,84.86,93.60,25.11,30.12,160.49,0.58,0.14,1.55,0.01,0.18,0.01,0.47,0.89,1.82,0.84,0.00,1.80,0.00,24.20,0.06,0.08,0.24,0.28,0.08,2.04,24.20
Kiwi granola pudding,280.99,32.33,5.60,15.36,15.08,3.71,20.27,62.20,128.82,36.13,59.21,274.53,1.45,0.17,3.75,0.00,0.79,0.01,0.81,40.19,1.02,0.24,0.38,0.67,0.00,39.53,0.37,0.43,1.81,0.36,0.10,3.03,39.53
Oats burfi,425.19,62.47,8.89,17.27,32.93,4.96,10.33,128.58,276.19,96.12,8.15,314.78,2.46,0.34,7.34,0.02,2.00,0.04,1.73,38.26,3.71,0.40,0.00,1.07,0.00,29.56,0.47,0.07,0.85,0.44,0.16,10.74,29.56
Lotus seed halwa (Kamal gattay ka halwa),370.55,39.56,7.79,20.69,9.80,0.42,45.24,82.84,304.33,105.76,3.06,658.52,1.80,0.21,0.20,0.00,1.14,0.00,0.60,169.56,2.04,0.06,0.00,0.41,0.00,49.40,0.31,0.08,0.83,0.41,0.30,0.19,49.40
Amaranth ladoo (Rajgira ladoo),454.15,51.33,10.12,22.70,19.92,5.11,33.64,144.58,262.35,231.95,7.51,414.93,6.47,0.56,9.08,0.65,3.23,0.01,1.88,126.07,3.67,31.25,0.00,1.85,0.00,21.69,0.05,0.05,0.64,0.26,0.44,1.40,21.69
Chhena poda,344.57,33.64,13.68,17.94,30.65,1.40,3.31,295.29,264.21,65.71,13.00,150.27,1.41,0.35,14.34,0.06,0.50,0.02,2.27,12.42,2.30,0.60,0.00,0.83,0.00,57.47,0.07,0.08,0.47,0.45,0.05,12.27,57.47
Sweet couscous dessert,196.20,29.69,3.81,7.69,15.89,2.18,9.37,30.94,83.87,31.24,4.22,183.41,0.84,0.16,1.43,0.00,0.47,0.01,0.57,42.13,2.24,10.42,0.00,3.26,0.00,12.66,0.12,0.04,0.76,0.22,0.12,1.58,12.66
Sweetened yogurt (Shrikhand),107.18,16.02,5.27,2.89,15.81,0.08,9.95,183.02,156.60,18.36,73.61,261.06,0.17,0.01,1.87,0.00,0.08,0.00,0.66,25.33,0.16,0.09,0.00,0.08,0.00,16.56,0.06,0.25,0.19,0.46,0.09,2.41,16.56
Thickened sweetened milk (Rabri),102.79,10.55,3.52,5.35,10.09,0.19,0.00,111.87,101.92,15.00,23.92,125.85,0.29,0.08,1.15,0.00,0.07,0.01,0.42,0.00,0.55,0.10,0.00,0.18,0.00,7.40,0.04,0.10,0.11,0.34,0.05,1.94,7.40
Gram flour halwa (Besan halwa),276.79,25.78,5.88,17.30,15.83,1.82,33.12,77.42,98.95,20.44,15.40,128.25,0.67,0.12,1.56,0.00,0.34,0.01,0.55,124.14,1.40,0.22,0.00,1.48,0.00,34.75,0.10,0.09,0.38,0.42,0.10,2.48,34.75
Prawn sandwich,169.65,11.89,10.36,9.27,1.21,1.55,40.70,75.53,146.92,38.95,213.38,152.55,1.11,0.23,26.81,0.01,0.33,0.01,0.97,3.25,2.71,0.08,0.65,7.73,162.83,22.37,0.07,0.04,1.33,1.07,0.11,1.00,22.37
Watercress sandwich,229.42,28.03,5.17,11.47,1.81,2.26,26.56,98.16,66.33,19.07,407.44,140.55,0.99,0.09,3.97,0.00,0.31,0.00,0.47,119.47,0.34,0.35,0.00,15.56,0.00,22.43,0.13,0.05,1.00,0.13,0.06,0.82,22.43
Fish sandwich ,150.20,10.09,4.72,10.37,1.04,1.23,8.41,47.28,68.68,16.13,161.88,103.87,0.69,0.05,5.13,0.00,0.30,0.00,0.40,7.70,1.34,0.05,0.09,2.53,0.14,15.07,0.06,0.03,0.87,0.28,0.07,0.74,15.07
Kidney bean sandwich with cottage cheese,176.64,18.86,9.85,6.84,3.69,3.66,2.67,166.63,177.15,43.64,97.97,296.76,1.64,0.20,11.12,0.03,0.34,0.01,1.32,11.99,0.16,5.23,0.00,2.70,0.00,89.19,0.09,0.08,0.71,0.49,0.07,5.58,89.19
Finger millet biscuit (Ragi biscuit),458.56,52.69,4.03,25.79,16.90,5.97,64.19,207.04,174.74,78.66,98.24,247.17,2.54,0.37,8.14,0.02,1.74,0.00,1.41,288.70,0.64,22.07,0.00,3.83,0.00,18.41,0.20,0.11,0.71,0.17,0.03,0.53,18.41
Buttermilk biscuit,322.54,34.93,5.76,17.50,3.44,1.18,45.41,67.16,184.46,17.22,323.74,117.49,0.77,0.08,1.32,0.00,0.27,0.00,0.57,202.83,0.41,2.88,0.46,1.97,0.00,8.74,0.08,0.10,0.36,0.45,0.05,0.29,8.74
Lemon cookies,394.48,42.19,5.63,23.02,23.47,0.78,82.16,72.04,104.31,12.50,84.71,79.05,0.69,0.08,2.16,0.00,0.16,0.00,0.64,283.51,0.55,1.72,0.04,2.04,0.78,6.88,0.05,0.09,0.23,0.28,0.04,1.17,6.88
Sweet potato biscuit (Shakarkand ke biscuit),296.40,38.13,5.14,13.31,2.53,2.27,33.83,56.34,234.27,19.30,339.58,183.69,0.81,0.12,0.50,0.00,0.33,0.00,0.52,151.70,0.31,3.05,0.18,2.44,0.00,11.73,0.09,0.07,0.52,0.61,0.07,1.79,11.73
Raspberry shortbread cookies,441.12,61.25,3.00,21.25,40.86,0.75,54.36,13.81,37.24,9.21,6.06,51.53,0.60,0.08,0.01,0.00,0.17,0.00,0.30,244.48,0.49,1.82,0.00,2.16,0.00,4.48,0.04,0.04,0.21,0.21,0.02,0.24,4.48
Pumpkin cookies ,218.40,44.69,2.51,3.93,31.62,1.06,22.23,19.36,62.44,8.86,51.49,82.12,0.52,0.08,1.56,0.00,0.20,0.00,0.27,47.00,0.25,1.49,0.03,15.97,0.53,9.13,0.03,0.03,0.22,0.22,0.03,1.08,9.13
Greenpea cookies,159.42,23.07,6.53,4.24,14.45,5.32,0.00,48.45,218.08,45.08,229.90,241.34,1.47,0.29,1.09,0.00,0.55,0.02,1.01,0.00,1.72,6.46,0.00,22.79,0.00,37.23,0.16,0.04,0.96,0.50,0.12,2.67,37.23
Sunflower cookies,520.62,40.06,9.49,36.28,24.28,3.95,26.38,70.45,300.42,135.07,181.68,210.54,2.21,0.91,14.97,0.00,0.84,0.01,2.38,118.64,7.49,1.79,0.00,3.92,0.00,28.18,0.21,0.06,0.64,0.44,0.30,0.88,28.18
Cardamom cookies (Elaichi cookies),400.49,53.99,5.10,19.12,38.99,2.79,111.21,25.21,114.41,34.43,98.45,111.45,1.41,0.18,20.08,0.00,0.85,0.00,0.97,235.19,0.73,3.35,0.15,1.92,2.67,15.99,0.11,0.09,0.59,0.49,0.09,3.58,15.99
Hazelnut cookies,493.32,39.44,6.25,34.97,22.01,2.45,46.99,47.43,109.64,50.12,81.06,233.17,1.29,0.39,0.52,0.00,1.43,0.00,0.80,211.34,6.97,1.57,0.00,1.87,0.00,22.68,0.15,0.07,0.47,0.58,0.17,20.12,22.68
Milk cookies,459.43,48.43,10.49,24.96,22.06,0.99,67.93,251.59,270.34,32.61,156.53,385.42,0.75,0.07,4.56,0.00,0.23,0.00,1.13,289.81,0.57,2.43,0.00,2.53,0.00,15.65,0.13,0.34,0.47,0.94,0.09,0.86,15.65
Cranberry cookies,272.48,36.39,3.92,12.66,19.96,1.13,58.22,36.16,80.10,11.53,58.25,93.04,0.71,0.08,3.47,0.00,0.18,0.05,0.41,144.93,0.44,1.69,0.07,1.83,1.18,9.26,0.05,0.06,0.24,0.37,0.05,1.94,9.26
Olive biscuit,438.29,55.01,3.20,23.75,32.27,0.82,48.63,10.76,38.11,9.54,120.10,53.32,1.37,0.07,0.00,0.00,0.19,0.01,0.31,218.74,0.58,1.99,0.00,3.63,0.00,4.81,0.04,0.03,0.23,0.22,0.02,0.22,4.81
Tutti fruitti biscuit,420.78,53.12,5.21,17.90,15.75,5.43,44.48,23.81,194.29,60.37,93.11,155.27,1.96,0.23,25.41,0.00,1.43,0.00,1.40,200.06,0.51,6.42,0.00,2.26,0.00,13.98,0.20,0.09,1.14,0.43,0.12,0.41,13.98
Peach blueberry preserves,177.38,45.76,0.53,0.20,45.33,1.14,0.00,9.03,11.29,5.14,2.81,129.46,0.33,0.09,0.27,0.00,0.15,0.05,0.10,0.00,0.19,0.97,0.00,1.80,0.00,4.32,0.02,0.02,0.18,0.10,0.04,0.90,4.32
Pear preserves (Naashpati ka murabba),101.24,25.67,0.25,0.19,25.19,3.06,0.00,6.57,4.90,5.64,2.10,74.27,0.23,0.08,0.01,0.01,0.05,0.00,0.07,0.00,0.20,1.01,0.00,8.58,0.00,3.68,0.01,0.01,0.09,0.04,0.06,0.96,3.68
Starfruit preserves ,128.93,33.62,0.24,0.12,33.47,0.78,0.00,5.24,4.00,4.09,2.06,49.72,0.20,0.06,0.20,0.01,0.02,0.00,0.10,0.00,0.11,0.27,0.00,0.55,0.00,2.66,0.02,0.01,0.10,0.08,0.02,0.04,2.66
Gooseberry pickle (Amla ka achaar),278.58,7.61,1.55,27.61,0.36,3.70,0.00,31.17,47.48,23.00,86.38,199.18,1.04,0.09,2.82,0.00,0.68,0.03,0.27,0.00,0.31,1.78,0.00,4.25,0.00,8.96,0.05,0.04,0.39,0.21,0.09,0.21,8.96
Lotus stem pickle (Kamal kakdi ka achar),102.69,20.07,1.44,1.60,2.53,8.58,0.00,137.73,44.54,57.68,181.83,1026.99,20.57,0.42,0.00,0.00,0.01,0.00,0.01,0.00,0.06,0.07,0.00,1.09,0.00,0.49,0.28,0.41,0.66,0.00,0.01,0.01,0.49
Date pickle (Khajoor ka achaar),182.29,34.66,1.68,4.21,30.47,5.20,0.00,41.49,44.69,39.25,138.86,434.89,1.96,0.19,0.36,0.01,0.52,0.00,0.46,0.00,1.83,1.33,0.00,5.15,0.00,11.41,0.03,0.04,0.98,0.30,0.14,0.46,11.41
Garlic pickle (Lahasun ka achar),413.62,9.75,3.72,39.88,2.32,5.13,0.00,54.66,69.93,33.55,269.12,311.08,1.82,0.14,0.59,0.01,0.35,0.09,0.62,0.00,0.09,1.10,0.00,6.62,0.00,31.26,0.10,0.13,0.49,0.56,0.32,1.30,31.26
Fermented bamboo shoot pickle (Mesu pickle),59.83,1.73,1.58,5.59,0.29,2.24,0.00,16.62,44.03,11.25,161.31,434.41,0.69,0.15,2.37,0.00,0.43,0.00,0.44,0.00,0.00,0.39,0.00,3.39,0.00,16.98,0.06,0.08,0.49,0.24,0.17,5.46,16.98
Sweet peach pickle (Aadoo ka achaar),144.64,37.01,0.46,0.20,36.46,1.32,0.00,11.99,10.55,5.64,33.04,150.24,0.33,0.08,0.36,0.00,0.19,0.04,0.09,0.00,0.01,1.25,0.00,2.52,0.00,3.52,0.01,0.01,0.15,0.08,0.05,0.71,3.52
Pickled mustard greens ,13.12,1.05,1.51,0.22,0.02,1.70,0.00,81.44,30.73,22.63,242.36,173.98,1.22,0.10,3.43,0.02,0.18,0.00,0.29,0.00,0.24,2.32,0.00,81.96,0.00,46.87,0.03,0.08,0.25,0.11,0.07,0.72,46.87
Small onion pickle ,16.86,2.76,1.65,0.64,2.99,1.09,0.00,31.95,48.74,9.18,249.48,214.90,1.20,0.07,0.97,0.00,0.13,0.00,0.45,0.00,0.23,0.00,0.00,3.30,0.00,15.06,0.04,0.08,0.83,0.14,0.23,0.67,15.06
Green tomato pickle (Haray tamatar ka achaar),193.26,2.87,1.23,19.67,0.77,1.74,0.00,14.22,29.44,16.01,159.18,205.63,0.77,0.07,7.41,0.02,0.18,0.03,0.21,0.00,9.62,1.32,0.00,14.65,0.00,11.25,0.07,0.05,0.49,0.25,0.07,3.75,11.25
Pickled cabbage ,13.69,2.56,0.39,0.14,2.08,0.61,0.00,15.96,9.56,6.13,121.39,58.17,0.19,0.01,0.37,0.00,0.12,0.00,0.06,0.00,0.01,0.11,0.00,22.02,0.00,9.09,0.01,0.01,0.10,0.05,0.03,0.28,9.09
Coconut pickle (Nariyal ka aachar),517.26,11.53,3.02,51.71,8.98,6.35,0.00,44.78,64.60,32.21,176.54,342.27,2.62,0.24,1.75,0.01,0.51,0.25,0.55,0.00,1.11,2.70,0.00,17.17,0.00,19.85,0.06,0.09,0.78,0.20,0.19,0.45,19.85
Potato pickle (Aloo ka achaar),369.14,7.87,2.07,36.46,0.82,2.21,0.00,48.46,59.24,34.80,213.73,311.23,1.12,0.14,0.53,0.00,0.22,0.03,0.44,0.00,16.22,1.76,0.00,9.55,0.00,17.39,0.08,0.03,0.72,0.32,0.13,1.26,17.39
Mango murabba candy,293.35,77.32,0.27,0.05,74.73,0.95,0.00,16.55,6.36,7.64,13.71,56.54,0.33,0.11,0.04,0.00,0.30,0.00,0.11,0.00,0.27,2.38,0.00,4.20,0.00,7.50,0.01,0.01,0.08,0.04,0.04,0.43,7.50
Afghani chicken,151.51,1.95,15.66,9.07,0.83,0.31,42.14,35.14,151.77,28.36,87.02,259.04,1.04,0.27,12.87,0.00,0.14,0.01,0.79,10.63,0.78,0.25,0.91,6.33,18.31,10.81,0.10,0.07,5.40,0.86,0.37,3.16,10.81
Fish orly,563.70,4.27,5.87,58.18,0.24,0.33,11.78,9.55,90.12,11.85,136.37,94.43,0.31,0.03,8.36,0.00,0.06,0.01,0.22,8.59,28.26,0.27,0.17,3.90,0.28,4.36,0.02,0.02,0.47,0.36,0.05,0.09,4.36
Hariyali Fish Tikka,150.24,2.21,14.01,9.41,0.83,0.99,43.28,34.86,162.56,33.88,100.45,257.74,0.83,0.08,20.92,0.01,0.17,0.02,0.50,74.09,1.26,0.81,0.43,15.01,0.69,15.00,0.05,0.04,1.09,0.86,0.13,0.57,15.00
Chicken manchurian,142.34,6.06,9.53,11.96,0.90,0.41,37.88,26.52,96.13,16.57,2414.77,179.84,1.28,0.11,7.51,0.00,0.11,0.00,0.53,13.09,3.54,0.26,0.44,1.01,8.64,10.34,0.04,0.04,2.42,0.46,0.18,2.33,10.34
Handi chicken,166.02,1.49,12.32,12.46,0.75,0.67,33.71,26.85,111.00,18.15,75.64,214.67,0.93,0.17,10.23,0.00,0.23,0.01,0.54,5.11,0.18,0.29,0.74,1.74,14.99,8.82,0.06,0.05,4.42,0.67,0.30,2.53,8.82
Lemon chicken,169.79,0.55,20.20,9.66,0.16,0.16,60.15,17.40,165.74,19.91,79.93,282.83,0.95,0.25,17.16,0.00,0.04,0.00,0.74,21.47,0.30,0.05,1.27,0.40,25.66,10.89,0.10,0.06,7.45,1.07,0.49,3.89,10.89
Lemon butter fish,160.25,0.75,16.38,10.26,0.23,0.36,46.11,18.66,183.74,29.57,187.72,240.34,0.40,0.05,25.10,0.01,0.04,0.00,0.50,74.26,1.26,0.05,0.52,2.37,0.84,9.55,0.05,0.03,1.21,0.97,0.13,0.05,9.55
Baked eggs in tomato sauce,80.05,3.78,4.92,5.22,2.03,0.01,77.26,71.94,77.38,20.55,188.21,321.52,1.31,0.04,9.35,0.00,0.38,0.00,0.53,49.40,1.60,0.01,0.17,263.41,2.94,63.90,0.09,0.08,0.89,0.41,0.19,4.32,63.90
Egg in a pepper,128.78,0.17,12.64,8.68,0.05,0.17,345.88,48.25,176.67,12.83,183.89,144.67,1.76,0.07,38.25,0.00,0.04,0.00,1.18,187.11,1.44,0.07,0.79,1.76,13.81,49.87,0.06,0.18,0.14,1.40,0.16,17.53,49.87
Spinach mushroom scrambled egg (Palak mushroom bhurji),158.85,0.59,13.28,11.51,0.10,0.39,276.56,140.31,205.75,19.41,227.97,180.76,1.60,0.07,31.19,0.00,0.11,0.01,1.35,188.91,1.24,1.40,0.67,22.35,10.54,46.58,0.06,0.19,0.17,1.17,0.14,14.04,46.58
Corn omelette/omlet,166.93,1.57,11.37,12.89,0.41,0.02,253.36,96.22,180.05,17.36,166.42,145.92,1.34,0.06,26.54,0.00,0.06,0.00,1.22,201.49,1.16,0.02,0.54,0.84,9.40,42.04,0.07,0.17,0.43,1.13,0.12,12.12,42.04
Cajun chicken,184.94,1.94,12.69,13.99,1.10,0.89,39.32,156.98,168.97,18.93,1740.13,181.55,0.53,0.13,7.40,0.00,0.10,0.00,1.17,74.00,0.44,0.28,0.45,10.07,9.13,26.60,0.06,0.10,2.85,0.57,0.26,3.73,26.60
Paaner do pyaza,127.70,3.41,4.22,10.87,2.20,0.84,15.07,57.22,82.36,17.05,160.66,135.24,0.45,0.07,1.81,0.00,0.17,0.01,0.43,49.84,2.68,1.14,0.00,4.14,0.00,15.37,0.04,0.10,0.27,0.20,0.06,2.43,15.37
Cabbage manchurian (Pattagobhi manchurian),224.26,4.85,0.64,22.48,0.33,0.37,0.18,3.18,8.86,3.50,75.02,34.44,0.20,0.02,0.05,0.00,0.07,0.00,0.07,0.47,11.03,0.38,0.00,2.62,0.00,4.08,0.01,0.01,0.10,0.07,0.02,0.24,4.08
Gobi 65,278.29,3.59,0.56,29.11,0.29,0.57,0.29,12.37,13.11,5.75,69.22,56.39,0.30,0.02,0.21,0.00,0.11,0.01,0.08,0.73,14.25,0.55,0.00,7.50,0.00,4.39,0.01,0.02,0.12,0.06,0.02,0.28,4.39
Paneer lababdar,105.48,3.37,3.98,8.46,1.96,1.16,7.19,55.56,77.52,19.63,142.45,145.50,0.56,0.08,1.69,0.00,0.19,0.02,0.42,20.93,2.76,2.64,0.00,11.57,0.00,14.81,0.05,0.09,0.27,0.21,0.06,2.26,14.81
