Name,Calories, Protein,Carbs,Fats
Sweet and salty biscuit (Meethay aur namkeen biscuit),407.96,45.09,6.15,22.39
Peanut biscuit,401.05,46.72,8.45,20.41
Pin wheel biscuit,404.60,54.56,5.40,18.66
Saffron biscuit (Kesar biscuit),458.61,59.70,6.05,22.01
Masala biscuit,393.64,45.18,6.06,20.75
Ice box cookies,374.24,56.09,5.70,14.44
Ginger bread man,365.00,60.26,6.61,11.01
Danish cookies,475.33,58.00,5.33,24.92
Short bread cookies,443.09,64.82,6.03,17.98
Coffee biscuit,416.57,46.55,6.90,23.00
Melting moments,437.91,55.84,5.71,21.78
Ginger biscuit (Adarak ke biscuit),417.91,58.44,5.98,18.31
Soyabean muthias,839.33,3.70,2.46,90.45
Soyabean tikki,698.17,4.39,3.53,74.02
Soyabean namak paras,838.46,4.65,2.65,89.83
Peanut burfi (Moongfali ki burfi),550.99,48.14,9.31,36.84
Spinach peanut namak paras (Palak moongfali namak paras),740.16,6.62,1.65,78.51
Gram flour and semolina chilla/cheela/savory pancake (Besan suji chilla/cheela),758.89,7.63,2.08,80.04
Rice moong dal cheela (Chawal aur moong dal ka cheela),798.26,11.13,2.74,82.44
Split bengal gram sweet rice (Channa dal sweet rice),190.21,41.07,4.15,0.64
Sweet poori (Meethi poori),782.75,14.26,2.12,79.63
Wheat flour and moong dal burfi (Atta aur moong dal ki burfi),441.08,60.00,9.84,18.41
Spinach burfi (Palak burfi),121.17,12.76,2.71,6.81
Sweet split chickpea roti (Sweet channa dal roti/Puranpoli),366.59,62.66,9.51,7.93
Sprouted moong daliya ,111.56,14.77,2.81,4.71
Sprouted moong poha ,192.60,26.60,5.59,6.89
Pearl millet ladoo (Bajra ladoo),319.66,50.98,9.61,8.06
Paushtik ladoo,485.87,60.34,7.65,24.98
Paushtik roti,149.26,26.59,7.17,1.51
Semolina carrot vada (Suji gajar vada),699.53,6.52,1.56,74.07
Dhokla,216.49,30.68,13.45,5.28
Kashmiri tea (Kehwa),24.90,5.23,0.17,0.51
Steeped hot coffee,15.91,3.01,0.39,0.33
Hot chocolate,90.01,9.02,3.43,4.61
Cold coffee (with cream),82.76,11.98,1.93,3.29
Banana milkshake with ice cream (Kele ka milkshake ice cream ke saath),76.45,11.15,2.01,2.77
Flavoured milkshake,66.78,8.65,2.06,2.83
Jal jeera,30.24,6.70,0.44,0.26
Gingo,48.02,12.42,0.14,0.06
Mintade,40.32,10.59,0.03,0.02
Canjee,6.61,0.44,0.24,0.42
Cauliflower canjee (Phoolgobhi ki canjee),6.90,0.35,0.39,0.42
Potato canjee (Aloo canjee),16.26,2.69,0.44,0.39
Vermicelli porridge (Semiya/Seviyan porridge),78.40,10.56,2.50,2.98
Semolina upma (Suji/Rava upma),147.89,16.31,3.30,7.49
Vermicelli upma (Semiya/Seviyan upma),149.11,16.88,3.11,7.45
Rice upma,151.27,17.96,2.63,7.46
Bread upma,129.51,12.60,2.80,7.75
Vegetable upma,146.47,16.46,4.73,6.63
Poha,294.53,35.05,6.09,14.14
Vegetable poha,180.52,21.52,4.89,8.07
Moong dal stuffed cheela/chilla (Moong dal ka cheela/chilla),154.89,19.42,6.97,5.11
